[epoch:7, iter:4993] Loss: 1.196 | Acc: 57.859% 
[epoch:7, iter:5013] Loss: 1.192 | Acc: 58.070% 
[epoch:7, iter:5033] Loss: 1.190 | Acc: 58.065% 
[epoch:7, iter:5053] Loss: 1.193 | Acc: 57.960% 
[epoch:7, iter:5073] Loss: 1.194 | Acc: 57.968% 
[epoch:7, iter:5093] Loss: 1.191 | Acc: 58.113% 
[epoch:7, iter:5113] Loss: 1.189 | Acc: 58.202% 
[epoch:7, iter:5133] Loss: 1.187 | Acc: 58.270% 
[epoch:7, iter:5153] Loss: 1.183 | Acc: 58.412% 
[epoch:7, iter:5173] Loss: 1.182 | Acc: 58.420% 
[epoch:7, iter:5193] Loss: 1.182 | Acc: 58.408% 
[epoch:7, iter:5213] Loss: 1.181 | Acc: 58.469% 
[epoch:7, iter:5233] Loss: 1.180 | Acc: 58.483% 
[epoch:7, iter:5253] Loss: 1.180 | Acc: 58.514% 
[epoch:7, iter:5273] Loss: 1.177 | Acc: 58.617% 
[epoch:7, iter:5293] Loss: 1.177 | Acc: 58.595% 
[epoch:7, iter:5313] Loss: 1.177 | Acc: 58.668% 
[epoch:7, iter:5333] Loss: 1.176 | Acc: 58.714% 
[epoch:7, iter:5353] Loss: 1.175 | Acc: 58.697% 
[epoch:7, iter:5373] Loss: 1.175 | Acc: 58.735% 
[epoch:7, iter:5393] Loss: 1.175 | Acc: 58.684% 
[epoch:7, iter:5413] Loss: 1.175 | Acc: 58.690% 
[epoch:7, iter:5433] Loss: 1.173 | Acc: 58.768% 
[epoch:7, iter:5453] Loss: 1.173 | Acc: 58.753% 
[epoch:7, iter:5473] Loss: 1.172 | Acc: 58.815% 
[epoch:8, iter:5475] Loss: 0.877 | Acc: 70.312% 
[epoch:8, iter:5495] Loss: 1.049 | Acc: 62.798% 
[epoch:8, iter:5515] Loss: 1.075 | Acc: 61.662% 
[epoch:8, iter:5535] Loss: 1.094 | Acc: 60.630% 
[epoch:8, iter:5555] Loss: 1.109 | Acc: 60.185% 
[epoch:8, iter:5575] Loss: 1.103 | Acc: 60.675% 
[epoch:8, iter:5595] Loss: 1.110 | Acc: 60.705% 
[epoch:8, iter:5615] Loss: 1.119 | Acc: 60.428% 
[epoch:8, iter:5635] Loss: 1.117 | Acc: 60.598% 
[epoch:8, iter:5655] Loss: 1.125 | Acc: 60.281% 
[epoch:8, iter:5675] Loss: 1.125 | Acc: 60.183% 
[epoch:8, iter:5695] Loss: 1.123 | Acc: 60.393% 
[epoch:8, iter:5715] Loss: 1.121 | Acc: 60.510% 
[epoch:8, iter:5735] Loss: 1.121 | Acc: 60.560% 
[epoch:8, iter:5755] Loss: 1.120 | Acc: 60.676% 
[epoch:8, iter:5775] Loss: 1.121 | Acc: 60.564% 
[epoch:8, iter:5795] Loss: 1.118 | Acc: 60.655% 
[epoch:8, iter:5815] Loss: 1.116 | Acc: 60.763% 
[epoch:8, iter:5835] Loss: 1.117 | Acc: 60.669% 
[epoch:8, iter:5855] Loss: 1.117 | Acc: 60.642% 
[epoch:8, iter:5875] Loss: 1.117 | Acc: 60.618% 
[epoch:8, iter:5895] Loss: 1.118 | Acc: 60.559% 
[epoch:8, iter:5915] Loss: 1.116 | Acc: 60.668% 
[epoch:8, iter:5935] Loss: 1.117 | Acc: 60.673% 
[epoch:8, iter:5955] Loss: 1.118 | Acc: 60.658% 
[epoch:8, iter:5975] Loss: 1.119 | Acc: 60.635% 
[epoch:8, iter:5995] Loss: 1.119 | Acc: 60.659% 
[epoch:8, iter:6015] Loss: 1.118 | Acc: 60.704% 
[epoch:8, iter:6035] Loss: 1.116 | Acc: 60.762% 
[epoch:8, iter:6055] Loss: 1.116 | Acc: 60.755% 
